City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
192,le pont-de-claix,0,FR,1548453600,68,45.12,5.7,30.2,10.29
193,norman wells,90,CA,1548453600,77,65.28,-126.83,1.4,8.05
194,houma,32,CN,1548455645,87,35.63,111.36,17.33,2.51
195,lebu,0,ET,1548453600,77,8.96,38.73,59.0,2.24
196,khatanga,44,RU,1548455646,74,71.98,102.47,-11.11,16.37
197,cabo san lucas,75,MX,1548452700,64,22.89,-109.91,75.2,9.17
198,angoche,80,MZ,1548455646,100,-16.23,39.91,79.25,7.2
199,kochetok,90,UA,1548453600,78,49.87,36.73,14.0,17.9
200,jalu,0,LY,1548455646,18,29.03,21.55,54.23,12.12
201,tiarei,75,PF,1548453600,62,-17.53,-149.33,87.8,11.41
202,east london,64,ZA,1548455647,100,-33.02,27.91,68.59,16.26
203,kall,75,DE,1548454800,100,50.54,6.56,39.2,8.05
204,souillac,90,FR,1548453600,93,45.6,-0.6,48.2,4.7
205,laguna,75,MX,1548452700,20,27.52,-110.01,77.0,6.93
206,alofi,80,NU,1548455648,100,-19.06,-169.92,80.92,9.1
207,limbang,75,BN,1548453600,100,4.75,115.01,77.0,3.36
208,silopi,0,IQ,1548455648,100,37.25,42.47,34.66,2.95
209,honiara,92,SB,1548455648,86,-9.43,159.96,81.95,3.06
210,valparaiso,90,US,1548454500,65,41.47,-87.06,10.4,10.29
211,kieta,24,PG,1548455649,96,-6.22,155.63,83.57,2.73
212,sulangan,44,PH,1548455649,99,11.14,123.72,78.76,26.33
213,yelizovo,8,RU,1548453600,70,53.19,158.38,1.4,8.95
214,iberia,0,PE,1548455650,83,-11.41,-69.49,79.43,2.28
215,karratha,20,AU,1548455650,64,-20.74,116.85,86.0,18.84
216,mattru,44,SL,1548455650,77,7.62,-11.83,78.71,5.86
217,nome,1,US,1548454500,32,30.04,-94.42,60.44,5.82
218,egvekinot,92,RU,1548455651,80,66.32,-179.17,-5.62,11.12
219,khabary,56,RU,1548455651,73,53.63,79.53,-2.34,11.01
220,antofagasta,20,CL,1548453600,68,-23.65,-70.4,69.8,12.75
221,urdoma,44,RU,1548455651,65,61.74,48.55,-8.55,4.74
222,esperance,20,TT,1548453600,65,10.24,-61.45,80.6,13.87
223,padang,20,ID,1548453600,94,-0.92,100.36,77.0,2.24
224,havelock,1,US,1548453480,39,34.88,-76.9,50.0,4.7
225,chadiza,56,ZM,1548455652,93,-14.06,32.43,62.02,2.62
226,gelnhausen,75,DE,1548454800,93,50.2,9.19,32.0,14.99
227,myitkyina,0,MM,1548455653,88,25.38,97.4,51.35,1.5
228,noumea,0,NC,1548453600,48,-22.28,166.46,82.4,2.24
229,hami,68,CN,1548455653,70,42.84,93.51,12.11,1.95
230,kavali,0,IN,1548455636,92,14.91,79.99,67.28,2.84
231,teguise,75,ES,1548453600,77,29.06,-13.56,62.6,2.24
232,kulhudhuffushi,0,MV,1548455654,100,6.62,73.07,80.74,5.86
233,lebedinyy,68,RU,1548455654,70,58.52,125.52,-2.83,2.51
234,amahai,12,ID,1548455654,100,-3.31,129.0,84.2,7.09
235,mahebourg,40,MU,1548453600,88,-20.41,57.7,78.8,8.05
236,ibateguara,20,BR,1548453600,78,-8.97,-35.93,77.0,6.93
237,rundu,92,NA,1548455655,51,-17.91,19.77,80.06,4.85
238,itabera,44,BR,1548455655,83,-23.86,-49.14,71.51,8.99
239,sherlovaya gora,0,RU,1548455655,53,50.53,116.31,-11.7,4.74
240,oranjemund,0,ZA,1548455656,89,-28.55,16.43,61.7,26.11
241,laksham,0,BD,1548455656,81,23.25,91.14,54.01,2.84
242,namibe,8,AO,1548455656,100,-15.19,12.15,74.84,2.28
243,obo,32,CF,1548455656,39,5.39,26.49,79.16,8.21
244,raton,1,US,1548453240,22,36.9,-104.44,41.0,6.93
245,tala,75,MX,1548453300,25,20.65,-103.7,78.8,6.93
246,yatou,20,CM,1548450000,94,3.63,9.81,80.6,1.12
247,balasheyka,44,RU,1548455657,68,53.28,48.09,-9.54,3.74
248,pangkalanbuun,48,ID,1548455657,89,-2.68,111.62,76.19,4.63
249,trelleborg,90,SE,1548453000,86,55.38,13.15,28.4,3.36
250,obama,88,JP,1548455658,100,35.49,135.74,34.88,12.01
251,harnosand,90,SE,1548453000,92,62.63,17.94,19.4,5.82
252,porbandar,0,IN,1548455658,88,21.64,69.61,57.16,13.13
253,lasa,20,CY,1548453600,76,34.92,32.53,55.4,9.17
254,mar del plata,0,AR,1548455451,47,-46.43,-67.52,59.09,13.35
255,vielsalm,75,BE,1548454800,100,50.29,5.92,37.4,13.87
256,portland,90,US,1548453360,70,45.52,-122.67,50.0,3.36
257,aklavik,90,CA,1548453600,84,68.22,-135.01,-0.41,2.24
